ip;full_request_date;day;month;year;hour;minute;second;tz;http_verb;URI;http_status_code;bytes;referrer;user_agent;browser_name;browser_version;browser_major;device_type;device_model;device_vendor;engine_name;engine_version;os_name;os_version;cpu_architecture;day_of_week;week_of_year;day_of_week_desc
66.249.73.33;30/Jan/2008:02:06:33 +0100; 30;Jan; 2008; 2; 6; 33;+0100;GET;/robots.txt; 404; 468;Direct;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined; 4; 5;Thursday 
66.249.73.33;30/Jan/2008:02:06:33 +0100; 30;Jan; 2008; 2; 6; 33;+0100;GET;/; 304; 147;Direct;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined; 4; 5;Thursday 
66.249.73.33;01/Feb/2008:01:42:00 +0100; 1;Feb; 2008; 1; 42; 0;+0100;GET;/robots.txt; 404; 468;Direct;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined; 6; 5;Saturday 
66.249.73.33;01/Feb/2008:01:42:01 +0100; 1;Feb; 2008; 1; 42; 1;+0100;GET;/contactos.htm; 304; 147;Direct;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined; 6; 5;Saturday 
74.6.22.150;01/Feb/2008:17:11:47 +0100; 1;Feb; 2008; 17; 11; 47;+0100;GET;/robots.txt; 404; 468;Direct;"Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;arch;slurp;undefined; 6; 5;Saturday 
74.6.22.150;01/Feb/2008:17:11:47 +0100; 1;Feb; 2008; 17; 11; 47;+0100;GET;/; 200; 1887;Direct;"Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;arch;slurp;undefined; 6; 5;Saturday 
74.6.22.150;01/Feb/2008:17:11:54 +0100; 1;Feb; 2008; 17; 11; 54;+0100;GET;/frameAux.htm; 200; 1714;http://www.terrer.net/;"Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;arch;slurp;undefined; 6; 5;Saturday 
74.6.22.150;01/Feb/2008:17:11:54 +0100; 1;Feb; 2008; 17; 11; 54;+0100;GET;/inicio.htm; 200; 1468;http://www.terrer.net/;"Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;arch;slurp;undefined; 6; 5;Saturday 
74.6.22.150;01/Feb/2008:17:11:54 +0100; 1;Feb; 2008; 17; 11; 54;+0100;GET;/menu.htm; 200; 3345;http://www.terrer.net/;"Mozilla/5.0 (compatible; Yahoo! Slurp/3.0; http://help.yahoo.com/help/us/ysearch/slurp)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;arch;slurp;undefined; 6; 5;Saturday 
74.6.19.143;02/Feb/2008:22:20:30 +0100; 2;Feb; 2008; 22; 20; 30;+0100;GET;/robots.txt; 404; 468;Direct;"Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;arch;slurp;undefined; 7; 5;Sunday   
74.6.26.147;02/Feb/2008:22:20:30 +0100; 2;Feb; 2008; 22; 20; 30;+0100;GET;/cata.htm; 200; 6796;Direct;"Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;arch;slurp;undefined; 7; 5;Sunday   
66.249.73.33;03/Feb/2008:16:01:45 +0100; 3;Feb; 2008; 16; 1; 45;+0100;GET;/robots.txt; 404; 468;Direct;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined; 1; 5;Monday   
66.249.73.33;03/Feb/2008:16:01:45 +0100; 3;Feb; 2008; 16; 1; 45;+0100;GET;/; 304; 147;Direct;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined; 1; 5;Monday   
66.249.73.33;04/Feb/2008:19:57:05 +0100; 4;Feb; 2008; 19; 57; 5;+0100;GET;/robots.txt; 404; 468;Direct;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined; 2; 6;Tuesday  
66.249.73.33;04/Feb/2008:19:57:05 +0100; 4;Feb; 2008; 19; 57; 5;+0100;GET;/lectura.htm; 200; 2863;Direct;"Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)";undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined;undefined; 2; 6;Tuesday  
